time,RUC,kappa,sliding_frame,time_local,Total_Number_Incidents
2019-01-09 09:00:00,0.0210685111193701,0.5,3,,0.0
2019-01-09 09:05:00,0.0210685111193701,0.5,3,,0.0
2019-01-09 09:10:00,0.0210685111193701,0.5,3,,0.0
2019-01-09 10:55:00,0.0011523890437598,0.5,3,,0.0
2019-01-09 11:00:00,0.0011523890437598,0.5,3,,0.0
2019-01-09 11:45:00,0.0033718037621314,0.5,3,,0.0
2019-01-09 11:50:00,0.0033718037621314,0.5,3,,0.0
2019-01-09 11:55:00,0.0033718037621314,0.5,3,,0.0
2019-01-09 14:25:00,0.0168498591822336,0.5,3,,0.0
2019-01-09 14:30:00,0.0168498591822336,0.5,3,,0.0
2019-01-09 16:35:00,0.0188249576026947,0.5,3,,0.0
2019-01-09 16:40:00,0.032107929852057,0.5,3,,0.0
2019-01-09 16:45:00,0.0592020909578442,0.5,3,,0.0
2019-01-09 16:50:00,0.0884063411145399,0.5,3,,0.0
2019-01-09 16:55:00,0.1568819305246623,0.5,3,,0.0
2019-01-09 17:00:00,0.2051484842895984,0.5,3,,0.0
2019-01-09 17:05:00,0.2245096535871865,0.5,3,,0.0
2019-01-09 17:10:00,0.166510955874047,0.5,3,,0.0
2019-01-09 17:15:00,0.090895863220448,0.5,3,,0.0
2019-01-09 17:20:00,0.0345626939134444,0.5,3,,0.0
2019-01-09 17:25:00,0.0191136413271888,0.5,3,,0.0
2019-01-09 17:30:00,0.0157861457176211,0.5,3,,0.0
2019-01-09 17:35:00,0.0120273746188516,0.5,3,,0.0
2019-01-09 17:40:00,0.003716563258762,0.5,3,,0.0
2019-01-09 17:45:00,0.003716563258762,0.5,3,,0.0
2019-01-09 18:05:00,0.0328659263021119,0.5,3,,0.0
2019-01-09 18:10:00,0.0863266157160008,0.5,3,,0.0
2019-01-09 18:15:00,0.1107409877975866,0.5,3,,0.0
2019-01-09 18:20:00,0.0778750614954747,0.5,3,,0.0
2019-01-09 18:25:00,0.0337852208105887,0.5,3,,0.0
2019-01-09 18:30:00,0.0421260442327466,0.5,3,,0.0
2019-01-09 18:35:00,0.0938608565771665,0.5,3,,0.0
2019-01-09 18:40:00,0.1297391693138283,0.5,3,,0.0
2019-01-09 18:45:00,0.1245659437051334,0.5,3,,0.0
2019-01-09 18:50:00,0.076896119109823,0.5,3,,0.0
2019-01-09 18:55:00,0.0329011049748251,0.5,3,,0.0
2019-01-09 19:00:00,0.0053191350797763,0.5,3,,0.0
2019-01-09 19:05:00,0.0012541473306667,0.5,3,,0.0
2019-01-09 19:50:00,0.0092861109206056,0.5,3,,0.0
2019-01-09 19:55:00,0.0159160345187731,0.5,3,,0.0
2019-01-09 20:00:00,0.0190060341373522,0.5,3,,0.0
2019-01-09 20:05:00,0.009223274000095,0.5,3,,0.0
